HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err
2457898.95775,2017-05-25.4574458,bb,1.63,13.771,8.119,0.003,2169.667,6.844
2457898.95903,2017-05-25.4587274,bb,1.65,13.728,8.036,0.004,2342.333,7.730
2457898.96034,2017-05-25.4600407,bb,1.72,13.732,8.056,0.003,2300.000,5.652
2457901.92101,2017-05-28.4208092,bb,1.68,13.719,8.026,0.004,2363.639,8.110
2457901.92228,2017-05-28.4220802,bb,1.66,13.740,8.069,0.004,2270.654,7.575
2457906.81714,2017-06-02.3171097,bb,1.75,13.695,8.023,0.004,2369.626,9.268
2457906.81841,2017-06-02.3183775,bb,1.69,13.681,8.010,0.004,2399.838,9.921
2457906.81967,2017-06-02.3196407,bb,1.74,13.666,8.009,0.005,2401.043,10.238
2457910.89236,2017-06-06.3924670,bb,1.67,13.650,7.960,0.004,2512.024,8.706
2457910.89363,2017-06-06.3937339,bb,1.69,13.683,8.009,0.004,2399.027,9.844
2457910.89490,2017-06-06.3950135,bb,1.69,13.656,7.959,0.004,2512.971,9.887
2457917.94334,2017-06-13.4436875,bb,1.70,13.636,8.060,0.004,2291.710,8.696
2457917.94461,2017-06-13.4449545,bb,1.73,13.654,8.051,0.004,2308.372,8.206
2457917.94587,2017-06-13.4462187,bb,1.72,13.652,8.033,0.004,2347.700,7.863
2457920.90994,2017-06-16.4103899,bb,1.70,13.669,7.970,0.003,2489.000,7.892
2457920.91121,2017-06-16.4116596,bb,1.65,13.654,7.936,0.003,2569.793,8.094
2457920.91248,2017-06-16.4129259,bb,1.70,13.650,7.931,0.003,2579.699,8.122
2457926.91512,2017-06-22.4157603,bb,1.72,13.670,7.965,0.004,2499.751,8.783
2457926.91637,2017-06-22.4170233,bb,1.74,13.660,7.951,0.003,2533.361,8.053
2457926.91765,2017-06-22.4182885,bb,1.77,13.660,7.944,0.004,2549.777,9.672
2457929.91017,2017-06-25.4109118,bb,1.69,13.684,7.974,0.004,2480.059,8.500
2457929.91143,2017-06-25.4121736,bb,1.73,13.707,8.022,0.004,2373.425,8.851
2457929.91271,2017-06-25.4134447,bb,1.72,13.674,7.961,0.004,2510.989,8.266
2457933.84843,2017-06-29.3492946,bb,2.03,13.668,7.932,0.004,2575.657,9.744
2457935.83304,2017-07-01.3339684,bb,2.02,13.468,8.045,0.004,2323.679,9.802
2457935.83434,2017-07-01.3352717,bb,2.06,13.387,7.940,0.005,2558.125,12.022
2457935.83562,2017-07-01.3365418,bb,2.07,13.353,7.960,0.006,2511.665,14.062
2457936.79296,2017-07-02.2939189,bb,2.25,13.555,7.820,0.004,2857.533,10.652
2457936.79424,2017-07-02.2951893,bb,2.15,13.618,7.912,0.004,2623.254,9.810
2457936.79549,2017-07-02.2964521,bb,2.21,13.594,7.894,0.004,2669.530,9.382
2457937.81759,2017-07-03.318575,bb,1.67,13.722,8.014,0.004,2391.354,8.762
2457937.81886,2017-07-03.3198498,bb,1.70,13.736,8.032,0.004,2350.187,9.107
2457937.82013,2017-07-03.3211158,bb,1.73,13.732,8.031,0.004,2351.205,9.359
2457955.75002,2017-07-21.2514894,bb,2.00,13.630,7.875,0.005,2715.133,11.445
2457955.75129,2017-07-21.2527592,bb,1.90,13.616,7.839,0.005,2807.257,13.100
2457955.75256,2017-07-21.2540304,bb,1.99,13.635,7.876,0.005,2712.935,12.681
2457959.81048,2017-07-25.3120435,bb,1.65,13.722,8.041,0.004,2331.659,8.573
2457959.81175,2017-07-25.3133108,bb,1.70,13.727,8.047,0.004,2317.380,8.776
2457959.81303,2017-07-25.3145866,bb,1.69,13.698,7.996,0.003,2429.066,7.292
2457961.83342,2017-07-27.3350321,bb,1.68,13.705,8.028,0.003,2357.875,7.507
2457961.83470,2017-07-27.3363103,bb,1.74,13.723,8.057,0.004,2296.736,8.155
2457961.83597,2017-07-27.3375812,bb,1.69,13.731,8.074,0.004,2259.286,7.944
2457968.76159,2017-08-03.2633414,bb,1.66,13.681,7.965,0.004,2500.183,9.334
2457968.76287,2017-08-03.2646172,bb,1.70,13.692,7.989,0.005,2445.878,10.324
2457968.76414,2017-08-03.2658924,bb,1.73,13.692,7.987,0.004,2450.382,7.994
