star,hjd,dv,err
EKDRA,2450807.04473,+0.052,0.003
EKDRA,2450807.04839,+0.055,0.004
EKDRA,2450807.05207,+0.053,0.002
EKDRA,2450810.03601,+0.073,0.003
EKDRA,2450810.03966,+0.076,0.001
EKDRA,2450810.04330,+0.075,0.003
EKDRA,2450814.02504,+0.079,0.002
EKDRA,2450814.02870,+0.082,0.001
EKDRA,2450814.03237,+0.080,0.002
EKDRA,2450815.02232,+0.049,0.002
EKDRA,2450815.02600,+0.049,0.002
EKDRA,2450815.02968,+0.049,0.002
EKDRA,2450816.01966,+0.126,0.002
EKDRA,2450816.02333,+0.122,0.002
EKDRA,2450816.02700,+0.124,0.002
EKDRA,2450820.00886,+0.048,0.003
EKDRA,2450820.01254,+0.043,0.001
EKDRA,2450820.01619,+0.039,0.005
EKDRA,2450821.00617,+0.111,0.002
EKDRA,2450821.00984,+0.115,0.004
EKDRA,2450821.01353,+0.117,0.002
EKDRA,2450822.00520,+0.081,0.011
EKDRA,2450823.00074,+0.041,0.001
EKDRA,2450823.00442,+0.046,0.002
EKDRA,2450823.00810,+0.048,0.003
EKDRA,2450823.99809,+0.131,0.002
EKDRA,2450824.00176,+0.130,0.001
EKDRA,2450824.00541,+0.134,0.002
EKDRA,2450825.99271,+0.079,0.003
EKDRA,2450825.99636,+0.081,0.000
EKDRA,2450826.00002,+0.084,0.002
EKDRA,2450827.98727,+0.036,0.003
EKDRA,2450827.99095,+0.040,0.003
EKDRA,2450827.99462,+0.040,0.002
EKDRA,2450828.98456,+0.113,0.004
EKDRA,2450828.98824,+0.113,0.003
EKDRA,2450828.99194,+0.113,0.002
EKDRA,2450829.98923,+0.090,0.003
EKDRA,2450830.97689,+0.052,0.003
EKDRA,2450830.98058,+0.052,0.002
EKDRA,2450830.98426,+0.048,0.002
EKDRA,2450831.97411,+0.121,0.003
EKDRA,2450831.97779,+0.118,0.003
EKDRA,2450831.98145,+0.119,0.003
EKDRA,2450833.97787,+0.092,0.002
EKDRA,2450835.96560,+0.044,0.001
EKDRA,2450835.96927,+0.043,0.001
EKDRA,2450835.97296,+0.043,0.001
EKDRA,2450836.96291,+0.120,0.002
EKDRA,2450836.96658,+0.121,0.001
EKDRA,2450836.97023,+0.120,0.002
EKDRA,2450837.96020,+0.074,0.002
EKDRA,2450837.96387,+0.076,0.001
EKDRA,2450837.96755,+0.077,0.003
EKDRA,2450838.95762,+0.070,0.002
EKDRA,2450838.96131,+0.067,0.002
EKDRA,2450838.96498,+0.068,0.001
EKDRA,2450839.95474,+0.109,0.002
EKDRA,2450839.95839,+0.113,0.001
EKDRA,2450839.96205,+0.111,0.002
EKDRA,2450840.95200,+0.035,0.020
EKDRA,2450840.95567,+0.046,0.007
EKDRA,2450840.95934,+0.047,0.011
EKDRA,2450841.94941,+0.104,0.002
EKDRA,2450841.95308,+0.109,0.002
EKDRA,2450841.95673,+0.102,0.001
EKDRA,2450842.94663,+0.083,0.001
EKDRA,2450842.95030,+0.081,0.002
EKDRA,2450842.95396,+0.083,0.001
EKDRA,2450843.94395,+0.049,0.002
EKDRA,2450843.94763,+0.055,0.003
EKDRA,2450843.95128,+0.054,0.003
EKDRA,2450846.93581,+0.093,0.003
EKDRA,2450846.93947,+0.087,0.002
EKDRA,2450846.94313,+0.082,0.003
EKDRA,2450847.93306,+0.101,0.003
EKDRA,2450847.93671,+0.097,0.003
EKDRA,2450847.94036,+0.095,0.005
EKDRA,2450850.92496,+0.077,0.007
EKDRA,2450850.92861,+0.066,0.020
EKDRA,2450850.93230,+0.068,0.002
EKDRA,2450852.91950,+0.119,0.004
EKDRA,2450852.92315,+0.119,0.003
EKDRA,2450852.92680,+0.124,0.002
EKDRA,2450855.91032,+0.081,0.002
EKDRA,2450855.91398,+0.081,0.006
EKDRA,2450855.94009,+0.085,0.003
EKDRA,2450856.91008,+0.051,0.002
EKDRA,2450856.91372,+0.049,0.003
EKDRA,2450856.93391,+0.050,0.001
EKDRA,2450857.90589,+0.125,0.013
EKDRA,2450857.90954,+0.116,0.010
EKDRA,2450857.91321,+0.125,0.005
EKDRA,2450861.92492,+0.037,0.007
EKDRA,2450867.88059,+0.087,0.002
EKDRA,2450867.95745,+0.093,0.003
EKDRA,2450868.87371,+0.097,0.001
EKDRA,2450868.87738,+0.096,0.003
EKDRA,2450868.98238,+0.090,0.001
EKDRA,2450871.86528,+0.062,0.002
EKDRA,2450871.86894,+0.071,0.003
EKDRA,2450872.86463,+0.072,0.004
EKDRA,2450872.86829,+0.071,0.004
EKDRA,2450872.93881,+0.071,0.004
EKDRA,2450873.85959,+0.095,0.003
EKDRA,2450873.86324,+0.099,0.006
EKDRA,2450873.94028,+0.100,0.002
EKDRA,2450874.85648,+0.066,0.002
EKDRA,2450874.86012,+0.070,0.002
EKDRA,2450874.92356,+0.066,0.002
EKDRA,2450875.85470,+0.076,0.019
EKDRA,2450875.85836,+0.086,0.004
EKDRA,2450875.92009,+0.092,0.001
EKDRA,2450876.85526,+0.084,0.002
EKDRA,2450876.85892,+0.091,0.002
EKDRA,2450876.92938,+0.085,0.001
EKDRA,2450877.85092,+0.075,0.002
EKDRA,2450877.85458,+0.075,0.002
EKDRA,2450877.92292,+0.077,0.002
EKDRA,2450878.84573,+0.090,0.002
EKDRA,2450878.84939,+0.095,0.007
EKDRA,2450878.86465,+0.093,0.006
EKDRA,2450880.84075,+0.095,0.002
EKDRA,2450880.84441,+0.089,0.002
EKDRA,2450880.90619,+0.095,0.002
EKDRA,2450881.83789,+0.079,0.017
EKDRA,2450881.91861,+0.086,0.002
EKDRA,2450882.83582,+0.065,0.002
EKDRA,2450882.83948,+0.070,0.002
EKDRA,2450882.90971,+0.074,0.002
EKDRA,2450883.83330,+0.097,0.002
EKDRA,2450883.83696,+0.095,0.001
EKDRA,2450883.92090,+0.098,0.001
EKDRA,2450885.82708,+0.087,0.019
EKDRA,2450885.83076,+0.086,0.003
EKDRA,2450889.81705,+0.084,0.001
EKDRA,2450889.82072,+0.084,0.001
EKDRA,2450891.81065,+0.101,0.001
EKDRA,2450891.81431,+0.106,0.001
EKDRA,2450891.87604,+0.102,0.002
EKDRA,2450892.81013,+0.058,0.004
EKDRA,2450892.81380,+0.059,0.001
EKDRA,2450892.88441,+0.054,0.003
EKDRA,2450893.80594,+0.092,0.003
EKDRA,2450893.80960,+0.092,0.002
EKDRA,2450893.88213,+0.095,0.003
EKDRA,2450894.80448,+0.103,0.002
EKDRA,2450894.80813,+0.099,0.002
EKDRA,2450894.87811,+0.098,0.001
EKDRA,2450895.80249,+0.041,0.003
EKDRA,2450895.80617,+0.041,0.005
EKDRA,2450896.79928,+0.103,0.001
EKDRA,2450896.80296,+0.104,0.002
EKDRA,2450896.87132,+0.106,0.001
EKDRA,2450897.79532,+0.075,0.003
EKDRA,2450897.79897,+0.080,0.001
EKDRA,2450897.87296,+0.077,0.002
EKDRA,2450900.78639,+0.061,0.001
EKDRA,2450900.79007,+0.059,0.002
EKDRA,2450900.87119,+0.053,0.002
EKDRA,2450903.78193,+0.051,0.001
EKDRA,2450903.78561,+0.053,0.001
EKDRA,2450903.89960,+0.057,0.002
EKDRA,2450904.77582,+0.093,0.002
EKDRA,2450904.77947,+0.097,0.002
EKDRA,2450904.86028,+0.099,0.001
EKDRA,2450906.77015,+0.072,0.001
EKDRA,2450906.77382,+0.071,0.002
EKDRA,2450906.85785,+0.076,0.001
EKDRA,2450907.76905,+0.099,0.003
EKDRA,2450907.77274,+0.102,0.004
EKDRA,2450907.85354,+0.108,0.002
EKDRA,2450908.76554,+0.067,0.002
EKDRA,2450908.76922,+0.070,0.002
EKDRA,2450908.85022,+0.065,0.001
EKDRA,2450909.76642,+0.083,0.008
EKDRA,2450910.75845,+0.117,0.002
EKDRA,2450910.76212,+0.105,0.002
EKDRA,2450910.85965,+0.108,0.002
EKDRA,2450911.75553,+0.069,0.003
EKDRA,2450911.75918,+0.070,0.002
EKDRA,2450911.86592,+0.073,0.001
EKDRA,2450912.75221,+0.083,0.001
EKDRA,2450912.75585,+0.087,0.001
EKDRA,2450912.84091,+0.089,0.001
EKDRA,2450913.74928,+0.090,0.002
EKDRA,2450913.75292,+0.092,0.002
EKDRA,2450913.85468,+0.091,0.001
EKDRA,2450914.75418,+0.081,0.002
EKDRA,2450914.84997,+0.084,0.003
EKDRA,2450915.74666,+0.090,0.002
EKDRA,2450915.75031,+0.100,0.006
EKDRA,2450915.84955,+0.095,0.003
EKDRA,2450916.74210,+0.078,0.002
EKDRA,2450916.74575,+0.073,0.002
EKDRA,2450916.84537,+0.077,0.001
EKDRA,2450917.73933,+0.078,0.002
EKDRA,2450917.74298,+0.079,0.003
EKDRA,2450918.73609,+0.075,0.017
EKDRA,2450918.73975,+0.087,0.005
EKDRA,2450919.73692,+0.081,0.002
EKDRA,2450919.83575,+0.085,0.002
EKDRA,2450920.85430,+0.084,0.002
EKDRA,2450921.73130,+0.075,0.004
EKDRA,2450921.73496,+0.076,0.002
EKDRA,2450921.85392,+0.076,0.004
EKDRA,2450922.72823,+0.095,0.002
EKDRA,2450922.73189,+0.095,0.002
EKDRA,2450922.85080,+0.089,0.006
EKDRA,2450923.72535,+0.085,0.012
EKDRA,2450923.72902,+0.135,0.007
EKDRA,2450924.72139,+0.082,0.003
EKDRA,2450924.72503,+0.152,0.010
EKDRA,2450924.84123,+0.094,0.002
EKDRA,2450925.72649,+0.104,0.003
EKDRA,2450925.84462,+0.104,0.004
EKDRA,2450928.79545,+0.122,0.010
EKDRA,2450931.83504,+0.057,0.015
EKDRA,2450933.82978,+0.104,0.009
EKDRA,2450934.69968,+0.049,0.008
EKDRA,2450934.71815,+0.064,0.016
EKDRA,2450934.82179,+0.045,0.016
EKDRA,2450935.71165,+0.110,0.006
EKDRA,2450936.68831,+0.108,0.004
EKDRA,2450936.72079,+0.100,0.014
EKDRA,2450936.82811,+0.115,0.019
EKDRA,2450937.68423,+0.054,0.008
EKDRA,2450938.82823,+0.122,0.003
EKDRA,2450938.88537,+0.099,0.016
EKDRA,2450941.85786,+0.120,0.003
EKDRA,2450941.88180,+0.104,0.010
EKDRA,2450941.89972,+0.120,0.016
EKDRA,2450942.89234,+0.056,0.004
EKDRA,2450942.90533,+0.071,0.017
EKDRA,2450943.88703,+0.096,0.009
EKDRA,2450944.87012,+0.101,0.008
EKDRA,2450945.84383,+0.081,0.004
EKDRA,2450945.86428,+0.081,0.007
EKDRA,2450945.88583,+0.084,0.003
EKDRA,2450946.73452,+0.106,0.011
EKDRA,2450946.80964,+0.112,0.004
EKDRA,2450947.83754,+0.074,0.009
EKDRA,2450948.83814,+0.088,0.004
EKDRA,2450948.86208,+0.206,0.007
EKDRA,2450948.88003,+0.098,0.018
EKDRA,2450953.72840,+0.094,0.006
EKDRA,2450955.67762,+0.073,0.005
EKDRA,2450955.73365,+0.166,0.006
EKDRA,2450956.67810,+0.107,0.014
EKDRA,2450957.84445,+0.041,0.012
EKDRA,2450959.67730,+0.102,0.008
EKDRA,2450959.73328,+0.078,0.010
EKDRA,2450959.83905,+0.102,0.013
EKDRA,2450960.73358,+0.061,0.010
EKDRA,2450960.83874,+0.075,0.004
EKDRA,2450961.67367,+0.108,0.006
EKDRA,2450961.72960,+0.096,0.008
EKDRA,2450961.83531,+0.097,0.012
EKDRA,2450962.67296,+0.081,0.005
EKDRA,2450962.72889,+0.163,0.013
EKDRA,2450962.83139,+0.080,0.004
EKDRA,2450963.82658,+0.093,0.014
EKDRA,2450965.67168,+0.156,0.008
EKDRA,2450965.72887,+0.062,0.009
EKDRA,2450965.82470,+0.060,0.008
EKDRA,2450966.67874,+0.103,0.004
EKDRA,2450966.81847,+0.110,0.002
EKDRA,2450968.67422,+0.058,0.006
EKDRA,2450968.72424,+0.055,0.004
EKDRA,2450968.81498,+0.055,0.006
EKDRA,2450969.72178,+0.115,0.003
EKDRA,2450969.81039,+0.104,0.003
EKDRA,2450970.72305,+0.081,0.003
EKDRA,2450970.80393,+0.073,0.002
EKDRA,2450972.67697,+0.145,0.005
EKDRA,2450972.71338,+0.127,0.006
EKDRA,2450972.80589,+0.110,0.014
EKDRA,2450973.68011,+0.184,0.002
EKDRA,2450974.67741,+0.086,0.003
EKDRA,2450974.80108,+0.184,0.007
EKDRA,2450976.67691,+0.049,0.012
EKDRA,2450976.71797,+0.038,0.007
EKDRA,2450977.67950,+0.107,0.010
EKDRA,2450977.75516,+0.155,0.006
EKDRA,2450978.72188,+0.127,0.012
EKDRA,2450978.78991,+0.147,0.006
EKDRA,2450979.67837,+0.061,0.003
EKDRA,2450979.75400,+0.073,0.008
EKDRA,2450979.78914,+0.155,0.003
EKDRA,2450980.67597,+0.111,0.005
EKDRA,2450980.74836,+0.236,0.004
EKDRA,2450980.78362,+0.204,0.009
EKDRA,2450983.68984,+0.212,0.004
EKDRA,2450983.77975,+0.174,0.009
EKDRA,2450984.67526,+0.051,0.004
EKDRA,2450984.74305,+0.129,0.003
EKDRA,2450985.68155,+0.186,0.015
EKDRA,2450986.74679,+0.094,0.012
EKDRA,2450986.76483,+0.125,0.008
EKDRA,2450986.77789,+0.089,0.005
EKDRA,2450987.74552,+0.074,0.011
EKDRA,2450989.68647,+0.070,0.005
EKDRA,2450989.74520,+0.075,0.006
EKDRA,2450989.76328,+0.076,0.017
EKDRA,2450990.68190,+0.092,0.006
EKDRA,2450990.74186,+0.052,0.010
EKDRA,2450990.75997,+0.064,0.009
EKDRA,2450991.68185,+0.120,0.012
EKDRA,2450991.73938,+0.138,0.012
EKDRA,2450991.75751,+0.134,0.010
EKDRA,2450992.68179,+0.075,0.007
EKDRA,2450992.73500,+0.050,0.012
EKDRA,2450992.75675,+0.055,0.011
EKDRA,2450993.73360,+0.108,0.010
EKDRA,2450993.75233,+0.079,0.007
EKDRA,2450994.71750,+0.098,0.005
EKDRA,2450994.75113,+0.119,0.007
EKDRA,2450994.76474,+0.095,0.006
EKDRA,2450995.70630,+0.073,0.003
EKDRA,2450995.73214,+0.079,0.009
EKDRA,2450995.75107,+0.062,0.005
EKDRA,2450996.70628,+0.102,0.009
EKDRA,2450996.73008,+0.114,0.007
EKDRA,2450996.74384,+0.083,0.005
EKDRA,2450997.70497,+0.096,0.011
EKDRA,2450997.74020,+0.078,0.018
EKDRA,2451168.05460,+0.102,0.004
EKDRA,2451169.05584,+0.154,0.004
EKDRA,2451172.04707,+0.121,0.001
EKDRA,2451172.05072,+0.119,0.002
EKDRA,2451173.04512,+0.121,0.002
EKDRA,2451173.04878,+0.126,0.002
EKDRA,2451174.03899,+0.124,0.008
EKDRA,2451174.04264,+0.124,0.006
EKDRA,2451174.05915,+0.123,0.004
EKDRA,2451176.03382,+0.106,0.002
EKDRA,2451176.03749,+0.109,0.002
EKDRA,2451177.03100,+0.123,0.003
EKDRA,2451177.03466,+0.122,0.003
EKDRA,2451177.05960,+0.123,0.002
EKDRA,2451179.02843,+0.119,0.014
EKDRA,2451179.04133,+0.113,0.011
EKDRA,2451180.02222,+0.098,0.003
EKDRA,2451180.02588,+0.098,0.004
EKDRA,2451180.05086,+0.100,0.003
EKDRA,2451181.01990,+0.138,0.003
EKDRA,2451181.02357,+0.138,0.002
EKDRA,2451181.04856,+0.135,0.002
EKDRA,2451182.01869,+0.135,0.002
EKDRA,2451182.02235,+0.134,0.001
EKDRA,2451182.03886,+0.133,0.002
EKDRA,2451183.01330,+0.107,0.003
EKDRA,2451183.01696,+0.105,0.001
EKDRA,2451183.04188,+0.102,0.001
EKDRA,2451184.01198,+0.121,0.003
EKDRA,2451184.01563,+0.118,0.002
EKDRA,2451184.04059,+0.119,0.003
EKDRA,2451185.00977,+0.112,0.013
EKDRA,2451185.01343,+0.111,0.004
EKDRA,2451185.01707,+0.107,0.002
EKDRA,2451186.00321,+0.139,0.001
EKDRA,2451186.00687,+0.139,0.003
EKDRA,2451186.03189,+0.140,0.002
EKDRA,2451187.00096,+0.128,0.002
EKDRA,2451187.00462,+0.130,0.002
EKDRA,2451187.02954,+0.127,0.003
EKDRA,2451188.00160,+0.099,0.003
EKDRA,2451188.00526,+0.097,0.003
EKDRA,2451188.00893,+0.093,0.003
EKDRA,2451189.00030,+0.126,0.013
EKDRA,2451189.99316,+0.134,0.002
EKDRA,2451189.99682,+0.131,0.002
EKDRA,2451190.01475,+0.134,0.002
EKDRA,2451190.99956,+0.110,0.003
EKDRA,2451191.99304,+0.127,0.002
EKDRA,2451191.99672,+0.128,0.002
EKDRA,2451192.01372,+0.129,0.003
EKDRA,2451193.00514,+0.104,0.003
EKDRA,2451193.98493,+0.131,0.002
EKDRA,2451193.98862,+0.138,0.006
EKDRA,2451194.01365,+0.130,0.019
EKDRA,2451194.98367,+0.138,0.003
EKDRA,2451194.98734,+0.139,0.002
EKDRA,2451195.00388,+0.134,0.012
EKDRA,2451195.98294,+0.089,0.017
EKDRA,2451196.00797,+0.091,0.006
EKDRA,2451196.97604,+0.129,0.004
EKDRA,2451196.97972,+0.129,0.004
EKDRA,2451197.00475,+0.126,0.003
EKDRA,2451197.97142,+0.121,0.003
EKDRA,2451197.97509,+0.124,0.002
EKDRA,2451198.00116,+0.121,0.002
EKDRA,2451198.96931,+0.111,0.004
EKDRA,2451198.97299,+0.109,0.003
EKDRA,2451200.96312,+0.092,0.016
EKDRA,2451200.96679,+0.087,0.019
EKDRA,2451201.96133,+0.130,0.004
EKDRA,2451201.96499,+0.126,0.001
EKDRA,2451202.96036,+0.139,0.008
EKDRA,2451202.96402,+0.132,0.013
EKDRA,2451206.94867,+0.123,0.001
EKDRA,2451206.95233,+0.125,0.002
EKDRA,2451206.96881,+0.123,0.003
EKDRA,2451207.94858,+0.129,0.003
EKDRA,2451207.95224,+0.130,0.001
EKDRA,2451208.03231,+0.139,0.002
EKDRA,2451208.94686,+0.094,0.001
EKDRA,2451208.95051,+0.095,0.002
EKDRA,2451211.94117,+0.107,0.003
EKDRA,2451212.93293,+0.099,0.002
EKDRA,2451212.93659,+0.100,0.002
EKDRA,2451213.03557,+0.102,0.004
EKDRA,2451215.92435,+0.126,0.004
EKDRA,2451215.92799,+0.132,0.003
EKDRA,2451216.01167,+0.132,0.002
EKDRA,2451216.92283,+0.113,0.003
EKDRA,2451216.92649,+0.114,0.002
EKDRA,2451217.03097,+0.114,0.003
EKDRA,2451218.91771,+0.111,0.010
EKDRA,2451218.92137,+0.118,0.002
EKDRA,2451219.01416,+0.115,0.003
EKDRA,2451219.91503,+0.127,0.001
EKDRA,2451219.91867,+0.129,0.003
EKDRA,2451220.03704,+0.128,0.003
EKDRA,2451220.91463,+0.092,0.005
EKDRA,2451221.90657,+0.111,0.018
EKDRA,2451221.91023,+0.102,0.003
EKDRA,2451221.93920,+0.095,0.003
EKDRA,2451222.90620,+0.122,0.002
EKDRA,2451222.90986,+0.119,0.003
EKDRA,2451223.02745,+0.112,0.004
EKDRA,2451223.90275,+0.106,0.003
EKDRA,2451223.90641,+0.111,0.003
EKDRA,2451224.02864,+0.107,0.004
EKDRA,2451225.89741,+0.096,0.007
EKDRA,2451225.90106,+0.092,0.006
EKDRA,2451226.89711,+0.090,0.018
EKDRA,2451227.89141,+0.140,0.002
EKDRA,2451227.89507,+0.138,0.003
EKDRA,2451227.91162,+0.139,0.006
EKDRA,2451228.89367,+0.093,0.005
EKDRA,2451228.92071,+0.099,0.002
EKDRA,2451230.88183,+0.104,0.019
EKDRA,2451230.88549,+0.119,0.001
EKDRA,2451231.94379,+0.082,0.004
EKDRA,2451232.87667,+0.120,0.002
EKDRA,2451232.88032,+0.124,0.002
EKDRA,2451232.99142,+0.126,0.016
EKDRA,2451233.87494,+0.103,0.003
EKDRA,2451233.87861,+0.100,0.008
EKDRA,2451233.98556,+0.109,0.015
EKDRA,2451235.86881,+0.137,0.003
EKDRA,2451235.87248,+0.132,0.003
EKDRA,2451235.99191,+0.130,0.002
EKDRA,2451236.86893,+0.107,0.002
EKDRA,2451236.87260,+0.102,0.003
EKDRA,2451236.99941,+0.101,0.001
EKDRA,2451237.86459,+0.074,0.001
EKDRA,2451237.86826,+0.076,0.003
EKDRA,2451237.99470,+0.110,0.016
EKDRA,2451238.86125,+0.110,0.008
EKDRA,2451238.86492,+0.113,0.005
EKDRA,2451238.99995,+0.114,0.008
EKDRA,2451239.85988,+0.078,0.002
EKDRA,2451239.86355,+0.077,0.002
EKDRA,2451239.99750,+0.063,0.002
EKDRA,2451240.85472,+0.112,0.002
EKDRA,2451240.85836,+0.113,0.001
EKDRA,2451240.87099,+0.115,0.002
EKDRA,2451246.83708,+0.119,0.001
EKDRA,2451246.84077,+0.117,0.001
EKDRA,2451248.83322,+0.098,0.003
EKDRA,2451248.83693,+0.096,0.001
EKDRA,2451248.85851,+0.094,0.005
EKDRA,2451250.82810,+0.081,0.003
EKDRA,2451250.83176,+0.078,0.004
EKDRA,2451250.85298,+0.073,0.002
EKDRA,2451251.82593,+0.080,0.003
EKDRA,2451251.82960,+0.079,0.003
EKDRA,2451251.84631,+0.081,0.005
EKDRA,2451253.82060,+0.100,0.002
EKDRA,2451253.82425,+0.097,0.003
EKDRA,2451253.84114,+0.097,0.003
EKDRA,2451256.81160,+0.076,0.002
EKDRA,2451256.81526,+0.075,0.002
EKDRA,2451256.94852,+0.069,0.001
EKDRA,2451257.81046,+0.120,0.002
EKDRA,2451257.81413,+0.124,0.002
EKDRA,2451257.94631,+0.126,0.001
EKDRA,2451258.80720,+0.115,0.003
EKDRA,2451258.81088,+0.119,0.004
EKDRA,2451258.94028,+0.111,0.002
EKDRA,2451259.80264,+0.057,0.003
EKDRA,2451259.80633,+0.058,0.002
EKDRA,2451259.93942,+0.063,0.003
EKDRA,2451261.79794,+0.114,0.003
EKDRA,2451261.80163,+0.108,0.003
EKDRA,2451261.93533,+0.088,0.008
EKDRA,2451262.79642,+0.077,0.002
EKDRA,2451262.80011,+0.078,0.003
EKDRA,2451262.92253,+0.074,0.008
EKDRA,2451264.79173,+0.073,0.013
EKDRA,2451264.79540,+0.059,0.007
EKDRA,2451265.01805,+0.055,0.003
EKDRA,2451265.78747,+0.107,0.002
EKDRA,2451265.79113,+0.106,0.001
EKDRA,2451265.92718,+0.112,0.003
EKDRA,2451266.78591,+0.133,0.002
EKDRA,2451266.78960,+0.129,0.002
EKDRA,2451266.91908,+0.120,0.003
EKDRA,2451268.77767,+0.110,0.005
EKDRA,2451274.76268,+0.123,0.003
EKDRA,2451274.76636,+0.124,0.002
EKDRA,2451274.87656,+0.120,0.003
EKDRA,2451277.75970,+0.096,0.013
EKDRA,2451278.75137,+0.071,0.004
EKDRA,2451278.75503,+0.076,0.003
EKDRA,2451278.88810,+0.071,0.003
EKDRA,2451280.86963,+0.090,0.003
EKDRA,2451282.74067,+0.108,0.004
EKDRA,2451282.74432,+0.104,0.002
EKDRA,2451282.88964,+0.108,0.002
EKDRA,2451283.73724,+0.090,0.002
EKDRA,2451283.74089,+0.091,0.002
EKDRA,2451283.86869,+0.083,0.001
EKDRA,2451284.73520,+0.092,0.011
EKDRA,2451284.73888,+0.086,0.004
EKDRA,2451284.86860,+0.090,0.003
EKDRA,2451285.73197,+0.090,0.016
EKDRA,2451285.73564,+0.098,0.003
EKDRA,2451285.86779,+0.097,0.004
EKDRA,2451286.73094,+0.081,0.004
EKDRA,2451286.73460,+0.080,0.002
EKDRA,2451286.85871,+0.078,0.001
EKDRA,2451287.72884,+0.092,0.002
EKDRA,2451287.73248,+0.095,0.001
EKDRA,2451288.72553,+0.097,0.003
EKDRA,2451288.72918,+0.100,0.002
EKDRA,2451288.85764,+0.107,0.001
EKDRA,2451289.72209,+0.086,0.009
EKDRA,2451289.84956,+0.093,0.001
EKDRA,2451290.71956,+0.081,0.002
EKDRA,2451290.74294,+0.076,0.002
EKDRA,2451290.86521,+0.074,0.007
EKDRA,2451291.72235,+0.096,0.004
EKDRA,2451291.86057,+0.092,0.004
EKDRA,2451292.71855,+0.106,0.007
EKDRA,2451292.74193,+0.094,0.007
EKDRA,2451292.86253,+0.094,0.005
EKDRA,2451293.71304,+0.073,0.003
EKDRA,2451293.72056,+0.073,0.003
EKDRA,2451293.84839,+0.077,0.004
EKDRA,2451294.70871,+0.099,0.002
EKDRA,2451294.71239,+0.100,0.002
EKDRA,2451294.84816,+0.102,0.004
EKDRA,2451295.70488,+0.084,0.002
EKDRA,2451295.72250,+0.080,0.003
EKDRA,2451295.84345,+0.071,0.006
EKDRA,2451296.70163,+0.078,0.002
EKDRA,2451296.70940,+0.080,0.002
EKDRA,2451296.83446,+0.087,0.002
EKDRA,2451297.70164,+0.123,0.007
EKDRA,2451297.70532,+0.123,0.012
EKDRA,2451299.72969,+0.093,0.006
EKDRA,2451299.77170,+0.088,0.003
EKDRA,2451299.88271,+0.096,0.002
EKDRA,2451300.69402,+0.128,0.002
EKDRA,2451300.71740,+0.125,0.004
EKDRA,2451300.83112,+0.105,0.003
EKDRA,2451301.68711,+0.043,0.007
EKDRA,2451301.71779,+0.052,0.002
EKDRA,2451303.68393,+0.081,0.003
EKDRA,2451303.72035,+0.071,0.006
EKDRA,2451303.85964,+0.057,0.002
EKDRA,2451304.67992,+0.056,0.004
EKDRA,2451304.73195,+0.054,0.003
EKDRA,2451304.86064,+0.065,0.004
EKDRA,2451305.68035,+0.141,0.002
EKDRA,2451305.73227,+0.147,0.004
EKDRA,2451305.86099,+0.141,0.005
EKDRA,2451306.67855,+0.040,0.001
EKDRA,2451306.73041,+0.044,0.002
EKDRA,2451306.85417,+0.043,0.001
EKDRA,2451307.67766,+0.072,0.002
EKDRA,2451307.72950,+0.070,0.006
EKDRA,2451307.85955,+0.091,0.004
EKDRA,2451308.67811,+0.127,0.003
EKDRA,2451308.72961,+0.121,0.003
EKDRA,2451308.85271,+0.095,0.007
EKDRA,2451309.68296,+0.041,0.011
EKDRA,2451309.81627,+0.040,0.006
EKDRA,2451310.68303,+0.109,0.003
EKDRA,2451310.74228,+0.113,0.002
EKDRA,2451310.84688,+0.121,0.005
EKDRA,2451311.67990,+0.079,0.001
EKDRA,2451311.73921,+0.070,0.008
EKDRA,2451312.67687,+0.039,0.001
EKDRA,2451312.73630,+0.038,0.003
EKDRA,2451312.84127,+0.042,0.005
EKDRA,2451313.67582,+0.137,0.004
EKDRA,2451313.73513,+0.138,0.001
EKDRA,2451313.83968,+0.135,0.002
EKDRA,2451314.67641,+0.061,0.003
EKDRA,2451314.73056,+0.059,0.001
EKDRA,2451314.83582,+0.045,0.002
EKDRA,2451315.67500,+0.057,0.003
EKDRA,2451315.72896,+0.065,0.003
EKDRA,2451315.83352,+0.075,0.005
EKDRA,2451316.67320,+0.126,0.015
EKDRA,2451316.72753,+0.118,0.001
EKDRA,2451316.83225,+0.108,0.002
EKDRA,2451317.67372,+0.045,0.001
EKDRA,2451317.72817,+0.034,0.002
EKDRA,2451317.82693,+0.036,0.004
EKDRA,2451318.67422,+0.099,0.002
EKDRA,2451318.72831,+0.108,0.002
EKDRA,2451318.84428,+0.113,0.001
EKDRA,2451319.67600,+0.100,0.002
EKDRA,2451319.73297,+0.093,0.002
EKDRA,2451319.84041,+0.084,0.004
EKDRA,2451320.68035,+0.032,0.002
EKDRA,2451320.73363,+0.035,0.003
EKDRA,2451320.84270,+0.041,0.002
EKDRA,2451321.68068,+0.113,0.003
EKDRA,2451321.73777,+0.114,0.002
EKDRA,2451321.83780,+0.120,0.004
EKDRA,2451322.67905,+0.073,0.002
EKDRA,2451322.73621,+0.071,0.002
EKDRA,2451322.83239,+0.062,0.005
EKDRA,2451324.66243,+0.107,0.002
EKDRA,2451324.77004,+0.106,0.004
EKDRA,2451325.68010,+0.051,0.002
EKDRA,2451325.73571,+0.044,0.003
EKDRA,2451326.65705,+0.077,0.014
EKDRA,2451326.70233,+0.095,0.002
